----------------------  ------------------------------
foreknew.               ('Romans', '11', '2')
elijah--how             ('Romans', '11', '2')
obtain,                 ('Romans', '11', '7')
hardened,               ('Romans', '11', '7')
stupor,                 ('Romans', '11', '8')
recovery?               ('Romans', '11', '11')
envious.                ('Romans', '11', '11')
bring!                  ('Romans', '11', '12')
inasmuch                ('Romans', '11', '13')
rejection               ('Romans', '11', '15')
reconciliation          ('Romans', '11', '15')
nourishing              ('Romans', '11', '17')
"branches               ('Romans', '11', '19')
graft                   ('Romans', '11', '23')
conceited:              ('Romans', '11', '25')
account;                ('Romans', '11', '28')
irrevocable.            ('Romans', '11', '29')
tracing                 ('Romans', '11', '33')
counselor?"             ('Romans', '11', '34')
god--this               ('Romans', '12', '1')
renewing                ('Romans', '12', '2')
is--his                 ('Romans', '12', '2')
sober                   ('Romans', '12', '3')
members,                ('Romans', '12', '4')
serving,                ('Romans', '12', '7')
teach;                  ('Romans', '12', '7')
encourage;              ('Romans', '12', '8')
contributing            ('Romans', '12', '8')
leadership,             ('Romans', '12', '8')
diligently;             ('Romans', '12', '8')
cheerfully.             ('Romans', '12', '8')
fervor,                 ('Romans', '12', '11')
hospitality.            ('Romans', '12', '13')
conceited.              ('Romans', '12', '16')
revenge,                ('Romans', '12', '19')
contrary:               ('Romans', '12', '20')
governing               ('Romans', '13', '1')
exist                   ('Romans', '13', '1')
instituted,             ('Romans', '13', '2')
authority?              ('Romans', '13', '3')
wrongdoer.              ('Romans', '13', '4')
governing.              ('Romans', '13', '6')
taxes;                  ('Romans', '13', '7')
revenue,                ('Romans', '13', '7')
revenue;                ('Romans', '13', '7')
respect;                ('Romans', '13', '7')
outstanding,            ('Romans', '13', '8')
adultery,do             ('Romans', '13', '9')
murder,do               ('Romans', '13', '9')
steal,do                ('Romans', '13', '9')
covet,"                 ('Romans', '13', '9')
decently,               ('Romans', '13', '13')
orgies                  ('Romans', '13', '13')
disputable              ('Romans', '14', '1')
allows                  ('Romans', '14', '2')
vegetables.             ('Romans', '14', '2')
special,                ('Romans', '14', '6')
abstains,               ('Romans', '14', '6')
live,'                  ('Romans', '14', '11')
obstacle                ('Romans', '14', '13')
edification.            ('Romans', '14', '19')
approves.               ('Romans', '14', '22')
eats,                   ('Romans', '14', '23')
failings                ('Romans', '15', '1')
peoples."               ('Romans', '15', '11')
convinced,              ('Romans', '15', '14')
points,                 ('Romans', '15', '15')
done--                  ('Romans', '15', '18')
illyricum,              ('Romans', '15', '19')
regions,                ('Romans', '15', '23')
spain.                  ('Romans', '15', '24')
jews'                   ('Romans', '15', '27')
spain                   ('Romans', '15', '28')
phoebe,                 ('Romans', '16', '1')
cenchrea.               ('Romans', '16', '1')
grateful                ('Romans', '16', '4')
epenetus,               ('Romans', '16', '5')
andronicus              ('Romans', '16', '7')
junias,                 ('Romans', '16', '7')
ampliatus,              ('Romans', '16', '8')
urbanus,                ('Romans', '16', '9')
stachys.                ('Romans', '16', '9')
apelles,                ('Romans', '16', '10')
aristobulus.            ('Romans', '16', '10')
herodion,               ('Romans', '16', '11')
narcissus               ('Romans', '16', '11')
tryphena                ('Romans', '16', '12')
tryphosa,               ('Romans', '16', '12')
persis,                 ('Romans', '16', '12')
asyncritus,             ('Romans', '16', '14')
phlegon,                ('Romans', '16', '14')
hermes,                 ('Romans', '16', '14')
patrobas,               ('Romans', '16', '14')
hermas                  ('Romans', '16', '14')
philologus,             ('Romans', '16', '15')
julia,                  ('Romans', '16', '15')
nereus                  ('Romans', '16', '15')
olympas                 ('Romans', '16', '15')
learned.                ('Romans', '16', '17')
appetites.              ('Romans', '16', '18')
naive                   ('Romans', '16', '18')
lucius,                 ('Romans', '16', '21')
sosipater,              ('Romans', '16', '21')
tertius,                ('Romans', '16', '22')
enjoy,                  ('Romans', '16', '23')
city's                  ('Romans', '16', '23')
quartus                 ('Romans', '16', '23')
sosthenes,              ('1 Corinthians', '1', '1')
christ--their           ('1 Corinthians', '1', '2')
way--in                 ('1 Corinthians', '1', '5')
knowledge--             ('1 Corinthians', '1', '5')
thought.                ('1 Corinthians', '1', '10')
chloe's                 ('1 Corinthians', '1', '11')
paul";                  ('1 Corinthians', '1', '12')
apollos";               ('1 Corinthians', '1', '12')
";                      ('1 Corinthians', '1', '12')
divided?                ('1 Corinthians', '1', '13')
thankful                ('1 Corinthians', '1', '14')
crispus                 ('1 Corinthians', '1', '14')
(yes,                   ('1 Corinthians', '1', '16')
stephanas;              ('1 Corinthians', '1', '16')
else.)                  ('1 Corinthians', '1', '16')
baptize,                ('1 Corinthians', '1', '17')
gospel--not             ('1 Corinthians', '1', '17')
frustrate."             ('1 Corinthians', '1', '19')
scholar?                ('1 Corinthians', '1', '20')
philosopher             ('1 Corinthians', '1', '20')
crucified:              ('1 Corinthians', '1', '23')
called.                 ('1 Corinthians', '1', '26')
influential;            ('1 Corinthians', '1', '26')
things--and             ('1 Corinthians', '1', '28')
not--to                 ('1 Corinthians', '1', '28')
god--that               ('1 Corinthians', '1', '30')
eloquence               ('1 Corinthians', '2', '1')
demonstration           ('1 Corinthians', '2', '4')
him"--                  ('1 Corinthians', '2', '9')
discerned.              ('1 Corinthians', '2', '14')
worldly--mere           ('1 Corinthians', '3', '1')
worldly.                ('1 Corinthians', '3', '3')
worldly?                ('1 Corinthians', '3', '3')
paul,"                  ('1 Corinthians', '3', '4')
apollos,"               ('1 Corinthians', '3', '4')
apollos?                ('1 Corinthians', '3', '5')
believe--as             ('1 Corinthians', '3', '5')
workers;                ('1 Corinthians', '3', '9')
builder,                ('1 Corinthians', '3', '10')
builds.                 ('1 Corinthians', '3', '10')
survives,               ('1 Corinthians', '3', '14')
flames.                 ('1 Corinthians', '3', '15')
"fool"                  ('1 Corinthians', '3', '18')
craftiness";            ('1 Corinthians', '3', '19')
futile."                ('1 Corinthians', '3', '20')
future--all             ('1 Corinthians', '3', '22')
clear,                  ('1 Corinthians', '4', '4')
else?                   ('1 Corinthians', '4', '7')
receive?                ('1 Corinthians', '4', '7')
want!                   ('1 Corinthians', '4', '8')
procession,             ('1 Corinthians', '4', '9')
arena.                  ('1 Corinthians', '4', '9')
universe,               ('1 Corinthians', '4', '9')
dishonored!             ('1 Corinthians', '4', '10')
rags,                   ('1 Corinthians', '4', '11')
treated,                ('1 Corinthians', '4', '11')
homeless.               ('1 Corinthians', '4', '11')
slandered,              ('1 Corinthians', '4', '13')
kindly.                 ('1 Corinthians', '4', '13')
talking,                ('1 Corinthians', '4', '19')
prefer?                 ('1 Corinthians', '4', '21')
pagans:                 ('1 Corinthians', '5', '1')
proud!                  ('1 Corinthians', '5', '2')
dough?                  ('1 Corinthians', '5', '6')
yeast--as               ('1 Corinthians', '5', '7')
people--                ('1 Corinthians', '5', '9')
swindlers,              ('1 Corinthians', '5', '10')
idolaters.              ('1 Corinthians', '5', '10')
greedy,                 ('1 Corinthians', '5', '11')
idolater                ('1 Corinthians', '5', '11')
slanderer,              ('1 Corinthians', '5', '11')
swindler.               ('1 Corinthians', '5', '11')
church?                 ('1 Corinthians', '5', '12')
inside?                 ('1 Corinthians', '5', '12')
"expel                  ('1 Corinthians', '5', '13')
saints?                 ('1 Corinthians', '6', '1')
cases?                  ('1 Corinthians', '6', '2')
matters,                ('1 Corinthians', '6', '4')
church!                 ('1 Corinthians', '6', '4')
believers?              ('1 Corinthians', '6', '5')
unbelievers!            ('1 Corinthians', '6', '6')
already.                ('1 Corinthians', '6', '7')
wronged?                ('1 Corinthians', '6', '7')
homosexual              ('1 Corinthians', '6', '9')
offenders               ('1 Corinthians', '6', '9')
swindlers               ('1 Corinthians', '6', '10')
sanctified,             ('1 Corinthians', '6', '11')
"food                   ('1 Corinthians', '6', '13')
food"--but              ('1 Corinthians', '6', '13')
prostitute?             ('1 Corinthians', '6', '15')
concession,             ('1 Corinthians', '7', '6')
unmarried,              ('1 Corinthians', '7', '8')
passion.                ('1 Corinthians', '7', '9')
(i,                     ('1 Corinthians', '7', '12')
circumstances;          ('1 Corinthians', '7', '15')
counts.                 ('1 Corinthians', '7', '19')
you--although           ('1 Corinthians', '7', '21')
freedman;               ('1 Corinthians', '7', '22')
price;                  ('1 Corinthians', '7', '23')
virgins:                ('1 Corinthians', '7', '25')
crisis,                 ('1 Corinthians', '7', '26')
married?                ('1 Corinthians', '7', '27')
divorce.                ('1 Corinthians', '7', '27')
unmarried?              ('1 Corinthians', '7', '27')
marries,                ('1 Corinthians', '7', '28')
keep;                   ('1 Corinthians', '7', '30')
engrossed               ('1 Corinthians', '7', '31')
affairs--how            ('1 Corinthians', '7', '32')
wife--                  ('1 Corinthians', '7', '33')
affairs:                ('1 Corinthians', '7', '34')
restrict                ('1 Corinthians', '7', '35')
improperly              ('1 Corinthians', '7', '36')
wants.                  ('1 Corinthians', '7', '36')
compulsion              ('1 Corinthians', '7', '37')
virgin--this            ('1 Corinthians', '7', '37')
is--and                 ('1 Corinthians', '7', '40')
"lords"),               ('1 Corinthians', '8', '5')
idol's                  ('1 Corinthians', '8', '10')
emboldened              ('1 Corinthians', '8', '10')
apostle?                ('1 Corinthians', '9', '1')
cephas?                 ('1 Corinthians', '9', '5')
expense?                ('1 Corinthians', '9', '7')
milk?                   ('1 Corinthians', '9', '7')
view?                   ('1 Corinthians', '9', '8')
concerned?              ('1 Corinthians', '9', '9')
thresher                ('1 Corinthians', '9', '10')
threshes,               ('1 Corinthians', '9', '10')
gospel!                 ('1 Corinthians', '9', '16')
reward;                 ('1 Corinthians', '9', '17')
discharging             ('1 Corinthians', '9', '17')
reward?                 ('1 Corinthians', '9', '18')
runners                 ('1 Corinthians', '9', '24')
prize?                  ('1 Corinthians', '9', '24')
games                   ('1 Corinthians', '9', '25')
training.               ('1 Corinthians', '9', '25')
aimlessly;              ('1 Corinthians', '9', '26')
disqualified            ('1 Corinthians', '9', '27')
idolaters,              ('1 Corinthians', '10', '7')
revelry."               ('1 Corinthians', '10', '7')
snakes.                 ('1 Corinthians', '10', '9')
grumble,                ('1 Corinthians', '10', '10')
fall!                   ('1 Corinthians', '10', '12')
faithful;               ('1 Corinthians', '10', '13')
sensible                ('1 Corinthians', '10', '15')
partake                 ('1 Corinthians', '10', '17')
participants            ('1 Corinthians', '10', '20')
constructive.           ('1 Corinthians', '10', '23')
sacrifice,"             ('1 Corinthians', '10', '28')
conscience'             ('1 Corinthians', '10', '28')
sake--                  ('1 Corinthians', '10', '28')
conscience?             ('1 Corinthians', '10', '29')
teachings,              ('1 Corinthians', '11', '2')
head--it                ('1 Corinthians', '11', '5')
yourselves:             ('1 Corinthians', '11', '13')
uncovered?              ('1 Corinthians', '11', '13')
covering.               ('1 Corinthians', '11', '15')
contentious             ('1 Corinthians', '11', '16')
practice--nor           ('1 Corinthians', '11', '16')
directives              ('1 Corinthians', '11', '17')
meetings                ('1 Corinthians', '11', '17')
differences             ('1 Corinthians', '11', '19')
betrayed,               ('1 Corinthians', '11', '23')
ignorant.               ('1 Corinthians', '12', '1')
influenced              ('1 Corinthians', '12', '2')
cursed,"                ('1 Corinthians', '12', '3')
working,                ('1 Corinthians', '12', '6')
manifestation           ('1 Corinthians', '12', '7')
determines.             ('1 Corinthians', '12', '11')
unit,                   ('1 Corinthians', '12', '12')
body--whether           ('1 Corinthians', '12', '13')
free--and               ('1 Corinthians', '12', '13')
indispensable,          ('1 Corinthians', '12', '22')
unpresentable           ('1 Corinthians', '12', '23')
modesty,                ('1 Corinthians', '12', '23')
presentable             ('1 Corinthians', '12', '24')
treatment.              ('1 Corinthians', '12', '24')
combined                ('1 Corinthians', '12', '24')
suffers,                ('1 Corinthians', '12', '26')
healing,                ('1 Corinthians', '12', '28')
administration,         ('1 Corinthians', '12', '28')
apostles?               ('1 Corinthians', '12', '29')
teachers?               ('1 Corinthians', '12', '29')
miracles?               ('1 Corinthians', '12', '29')
healing?                ('1 Corinthians', '12', '30')
tongues?                ('1 Corinthians', '12', '30')
interpret?              ('1 Corinthians', '12', '30')
gong                    ('1 Corinthians', '13', '1')
clanging                ('1 Corinthians', '13', '1')
cymbal.                 ('1 Corinthians', '13', '1')
rude,                   ('1 Corinthians', '13', '5')
self-seeking,           ('1 Corinthians', '13', '5')
protects,               ('1 Corinthians', '13', '7')
trusts,                 ('1 Corinthians', '13', '7')
hopes,                  ('1 Corinthians', '13', '7')
perseveres.             ('1 Corinthians', '13', '7')
prophecies,             ('1 Corinthians', '13', '8')
stilled;                ('1 Corinthians', '13', '8')
imperfect               ('1 Corinthians', '13', '10')
childish                ('1 Corinthians', '13', '11')
reflection              ('1 Corinthians', '13', '12')
mirror;                 ('1 Corinthians', '13', '12')
part;                   ('1 Corinthians', '13', '12')
fully,                  ('1 Corinthians', '13', '12')
remain:                 ('1 Corinthians', '13', '13')
prophecy.               ('1 Corinthians', '14', '1')
strengthening,          ('1 Corinthians', '14', '3')
interprets,             ('1 Corinthians', '14', '5')
instruction?            ('1 Corinthians', '14', '6')
notes?                  ('1 Corinthians', '14', '7')
undoubtedly             ('1 Corinthians', '14', '10')
prays,                  ('1 Corinthians', '14', '14')
adults.                 ('1 Corinthians', '14', '20')
unbelievers;            ('1 Corinthians', '14', '22')
exclaiming,             ('1 Corinthians', '14', '25')
brothers?               ('1 Corinthians', '14', '26')
two--or                 ('1 Corinthians', '14', '27')
three--should           ('1 Corinthians', '14', '27')
interpret.              ('1 Corinthians', '14', '27')
interpreter,            ('1 Corinthians', '14', '28')
congregations           ('1 Corinthians', '14', '34')
submission,             ('1 Corinthians', '14', '34')
originate               ('1 Corinthians', '14', '36')
reached?                ('1 Corinthians', '14', '36')
gifted,                 ('1 Corinthians', '14', '37')
ignored.                ('1 Corinthians', '14', '38')
importance:             ('1 Corinthians', '15', '3')
abnormally              ('1 Corinthians', '15', '8')
apostle,                ('1 Corinthians', '15', '9')
effect.                 ('1 Corinthians', '15', '10')
them--yet               ('1 Corinthians', '15', '10')
whether,                ('1 Corinthians', '15', '11')
futile;                 ('1 Corinthians', '15', '17')
turn:                   ('1 Corinthians', '15', '23')
firstfruits;            ('1 Corinthians', '15', '23')
"everything"            ('1 Corinthians', '15', '27')
day--i                  ('1 Corinthians', '15', '31')
brothers--just          ('1 Corinthians', '15', '31')
reasons,                ('1 Corinthians', '15', '32')
gained?                 ('1 Corinthians', '15', '32')
misled:                 ('1 Corinthians', '15', '33')
"bad                    ('1 Corinthians', '15', '33')
character."             ('1 Corinthians', '15', '33')
god--i                  ('1 Corinthians', '15', '34')
raised?                 ('1 Corinthians', '15', '35')
foolish!                ('1 Corinthians', '15', '36')
dies.                   ('1 Corinthians', '15', '36')
same:                   ('1 Corinthians', '15', '39')
bodies;                 ('1 Corinthians', '15', '40')
differs                 ('1 Corinthians', '15', '41')
perishable,             ('1 Corinthians', '15', '42')
imperishable;           ('1 Corinthians', '15', '42')
being";                 ('1 Corinthians', '15', '45')
lifegiving              ('1 Corinthians', '15', '45')
natural,                ('1 Corinthians', '15', '46')
spiritual.              ('1 Corinthians', '15', '46')
imperishable.           ('1 Corinthians', '15', '50')
mystery:                ('1 Corinthians', '15', '51')
changed--               ('1 Corinthians', '15', '51')
twinkling               ('1 Corinthians', '15', '52')
"death                  ('1 Corinthians', '15', '54')
victory?                ('1 Corinthians', '15', '55')
sting?"                 ('1 Corinthians', '15', '55')
galatian                ('1 Corinthians', '16', '1')
income,                 ('1 Corinthians', '16', '2')
collections             ('1 Corinthians', '16', '2')
arrive,                 ('1 Corinthians', '16', '3')
introduction            ('1 Corinthians', '16', '3')
advisable               ('1 Corinthians', '16', '4')
you--for                ('1 Corinthians', '16', '5')
visit;                  ('1 Corinthians', '16', '7')
permits.                ('1 Corinthians', '16', '7')
pentecost,              ('1 Corinthians', '16', '8')
effective               ('1 Corinthians', '16', '9')
apollos:                ('1 Corinthians', '16', '12')
courage;                ('1 Corinthians', '16', '13')
stephanas               ('1 Corinthians', '16', '15')
stephanas,              ('1 Corinthians', '16', '17')
fortunatus              ('1 Corinthians', '16', '17')
achaicus                ('1 Corinthians', '16', '17')
recognition.            ('1 Corinthians', '16', '18')
warmly                  ('1 Corinthians', '16', '19')
lord--a                 ('1 Corinthians', '16', '22')
achaia:                 ('2 Corinthians', '1', '1')
uninformed,             ('2 Corinthians', '1', '8')
pressure,               ('2 Corinthians', '1', '8')
despaired               ('2 Corinthians', '1', '8')
peril,                  ('2 Corinthians', '1', '10')
boast:                  ('2 Corinthians', '1', '12')
conducted               ('2 Corinthians', '1', '12')
lightly?                ('2 Corinthians', '1', '17')
yes"                    ('2 Corinthians', '1', '17')
no"?                    ('2 Corinthians', '1', '17')
"yes."                  ('2 Corinthians', '1', '19')
ownership               ('2 Corinthians', '1', '22')
grieved?                ('2 Corinthians', '2', '2')
extent--not             ('2 Corinthians', '2', '5')
severely.               ('2 Corinthians', '2', '5')
forgiven--if            ('2 Corinthians', '2', '10')
forgive--i              ('2 Corinthians', '2', '10')
outwit                  ('2 Corinthians', '2', '11')
task?                   ('2 Corinthians', '2', '16')
peddle                  ('2 Corinthians', '2', '17')
sincerity,              ('2 Corinthians', '2', '17')
recommendation          ('2 Corinthians', '3', '1')
competence              ('2 Corinthians', '3', '5')
covenant--not           ('2 Corinthians', '3', '6')
kills,                  ('2 Corinthians', '3', '6')
glorious?               ('2 Corinthians', '3', '8')
righteousness!          ('2 Corinthians', '3', '9')
comparison              ('2 Corinthians', '3', '10')
lasts!                  ('2 Corinthians', '3', '11')
bold.                   ('2 Corinthians', '3', '12')
dull,                   ('2 Corinthians', '3', '14')
freedom.                ('2 Corinthians', '3', '17')
unveiled                ('2 Corinthians', '3', '18')
veiled,                 ('2 Corinthians', '4', '3')
unbelievers,            ('2 Corinthians', '4', '4')
darkness,"              ('2 Corinthians', '4', '6')
all-surpassing          ('2 Corinthians', '4', '7')
momentary               ('2 Corinthians', '4', '17')
achieving               ('2 Corinthians', '4', '17')
temporary,              ('2 Corinthians', '4', '18')
unseen                  ('2 Corinthians', '4', '18')
clothed,                ('2 Corinthians', '5', '3')
unclothed               ('2 Corinthians', '5', '4')
confident,              ('2 Corinthians', '5', '8')
reconciliation:         ('2 Corinthians', '5', '18')
reconciling             ('2 Corinthians', '5', '19')
ambassadors,            ('2 Corinthians', '5', '20')
behalf:                 ('2 Corinthians', '5', '20')
discredited.            ('2 Corinthians', '6', '3')
endurance;              ('2 Corinthians', '6', '4')
distresses;             ('2 Corinthians', '6', '4')
beatings,               ('2 Corinthians', '6', '5')
imprisonments           ('2 Corinthians', '6', '5')
riots;                  ('2 Corinthians', '6', '5')
sleepless               ('2 Corinthians', '6', '5')
purity,                 ('2 Corinthians', '6', '6')
report;                 ('2 Corinthians', '6', '8')
genuine,                ('2 Corinthians', '6', '8')
impostors;              ('2 Corinthians', '6', '8')
unknown;                ('2 Corinthians', '6', '9')
sorrowful,              ('2 Corinthians', '6', '10')
rejoicing;              ('2 Corinthians', '6', '10')
possessing              ('2 Corinthians', '6', '10')
corinthians,            ('2 Corinthians', '6', '11')
exchange--i             ('2 Corinthians', '6', '13')
children--open          ('2 Corinthians', '6', '13')
common?                 ('2 Corinthians', '6', '14')
belial?                 ('2 Corinthians', '6', '15')
unbeliever?             ('2 Corinthians', '6', '15')
separate,               ('2 Corinthians', '6', '17')
contaminates            ('2 Corinthians', '7', '1')
perfecting              ('2 Corinthians', '7', '1')
exploited               ('2 Corinthians', '7', '2')
encouraged;             ('2 Corinthians', '7', '4')
bounds.                 ('2 Corinthians', '7', '4')
turn--conflicts         ('2 Corinthians', '7', '5')
within.                 ('2 Corinthians', '7', '5')
ardent                  ('2 Corinthians', '7', '7')
it--i                   ('2 Corinthians', '7', '8')
while--                 ('2 Corinthians', '7', '8')
sorry,                  ('2 Corinthians', '7', '9')
earnestness,            ('2 Corinthians', '7', '11')
indignation,            ('2 Corinthians', '7', '11')
alarm,                  ('2 Corinthians', '7', '11')
concern,                ('2 Corinthians', '7', '11')
party,                  ('2 Corinthians', '7', '12')
embarrassed             ('2 Corinthians', '7', '14')
welled                  ('2 Corinthians', '8', '2')
generosity.             ('2 Corinthians', '8', '2')
privilege               ('2 Corinthians', '8', '4')
expected,               ('2 Corinthians', '8', '5')
everything--in          ('2 Corinthians', '8', '7')
us--see                 ('2 Corinthians', '8', '7')
giving.                 ('2 Corinthians', '8', '7')
sakes                   ('2 Corinthians', '8', '9')
matched                 ('2 Corinthians', '8', '11')
relieved                ('2 Corinthians', '8', '13')
equality.               ('2 Corinthians', '8', '13')
equality,               ('2 Corinthians', '8', '14')
initiative.             ('2 Corinthians', '8', '17')
criticism               ('2 Corinthians', '8', '20')
liberal                 ('2 Corinthians', '8', '20')
representatives         ('2 Corinthians', '8', '23')
macedonians,            ('2 Corinthians', '9', '2')
macedonians             ('2 Corinthians', '9', '4')
unprepared,             ('2 Corinthians', '9', '4')
we--not                 ('2 Corinthians', '9', '4')
you--would              ('2 Corinthians', '9', '4')
arrangements            ('2 Corinthians', '9', '5')
grudgingly              ('2 Corinthians', '9', '5')
sparingly               ('2 Corinthians', '9', '6')
sparingly,              ('2 Corinthians', '9', '6')
generously.             ('2 Corinthians', '9', '6')
reluctantly             ('2 Corinthians', '9', '7')
compulsion,             ('2 Corinthians', '9', '7')
giver.                  ('2 Corinthians', '9', '7')
supplying               ('2 Corinthians', '9', '12')
expressions             ('2 Corinthians', '9', '12')
indescribable           ('2 Corinthians', '9', '15')
gift!                   ('2 Corinthians', '9', '15')
meekness                ('2 Corinthians', '10', '1')
you--i,                 ('2 Corinthians', '10', '1')
"timid"                 ('2 Corinthians', '10', '1')
"bold"                  ('2 Corinthians', '10', '1')
pretension              ('2 Corinthians', '10', '5')
somewhat                ('2 Corinthians', '10', '8')
weighty                 ('2 Corinthians', '10', '10')
forceful,               ('2 Corinthians', '10', '10')
unimpressive            ('2 Corinthians', '10', '10')
classify                ('2 Corinthians', '10', '12')
limits,                 ('2 Corinthians', '10', '13')
boasting,               ('2 Corinthians', '10', '14')
expand,                 ('2 Corinthians', '10', '15')
commends.               ('2 Corinthians', '10', '18')
foolishness;            ('2 Corinthians', '11', '1')
eve                     ('2 Corinthians', '11', '3')
cunning,                ('2 Corinthians', '11', '3')
preaches                ('2 Corinthians', '11', '4')
"super-apostles."       ('2 Corinthians', '11', '5')
elevate                 ('2 Corinthians', '11', '7')
charge?                 ('2 Corinthians', '11', '7')
why?                    ('2 Corinthians', '11', '11')
do!                     ('2 Corinthians', '11', '11')
masquerading            ('2 Corinthians', '11', '13')
masquerades             ('2 Corinthians', '11', '14')
surprising,             ('2 Corinthians', '11', '15')
masquerade              ('2 Corinthians', '11', '15')
repeat:                 ('2 Corinthians', '11', '16')
self-confident          ('2 Corinthians', '11', '17')
would,                  ('2 Corinthians', '11', '17')
enslaves                ('2 Corinthians', '11', '20')
pushes                  ('2 Corinthians', '11', '20')
slaps                   ('2 Corinthians', '11', '20')
about--i                ('2 Corinthians', '11', '22')
fool--i                 ('2 Corinthians', '11', '22')
hebrews?                ('2 Corinthians', '11', '22')
israelites?             ('2 Corinthians', '11', '22')
this.)                  ('2 Corinthians', '11', '23')
harder,                 ('2 Corinthians', '11', '23')
frequently,             ('2 Corinthians', '11', '23')
minus                   ('2 Corinthians', '11', '24')
rods,                   ('2 Corinthians', '11', '25')
stoned,                 ('2 Corinthians', '11', '25')
shipwrecked,            ('2 Corinthians', '11', '25')
bandits,                ('2 Corinthians', '11', '26')
weak?                   ('2 Corinthians', '11', '29')
burn?                   ('2 Corinthians', '11', '29')
aretas                  ('2 Corinthians', '11', '32')
damascenes              ('2 Corinthians', '11', '32')
revelations             ('2 Corinthians', '12', '1')
know--god               ('2 Corinthians', '12', '2')
knows.                  ('2 Corinthians', '12', '2')
man--whether            ('2 Corinthians', '12', '3')
knows--                 ('2 Corinthians', '12', '3')
paradise.               ('2 Corinthians', '12', '4')
tell.                   ('2 Corinthians', '12', '4')
weaknesses.             ('2 Corinthians', '12', '5')
warranted               ('2 Corinthians', '12', '6')
surpassingly            ('2 Corinthians', '12', '7')
revelations,            ('2 Corinthians', '12', '7')
weakness."              ('2 Corinthians', '12', '9')
hardships,              ('2 Corinthians', '12', '10')
difficulties.           ('2 Corinthians', '12', '10')
"super-apostles,"       ('2 Corinthians', '12', '11')
apostle--signs,         ('2 Corinthians', '12', '12')
miracles--were          ('2 Corinthians', '12', '12')
wrong!                  ('2 Corinthians', '12', '13')
expend                  ('2 Corinthians', '12', '15')
less?                   ('2 Corinthians', '12', '15')
trickery!               ('2 Corinthians', '12', '16')
course?                 ('2 Corinthians', '12', '18')
strengthening.          ('2 Corinthians', '12', '19')
quarreling,             ('2 Corinthians', '12', '20')
outbursts               ('2 Corinthians', '12', '20')
factions,               ('2 Corinthians', '12', '20')
gossip,                 ('2 Corinthians', '12', '20')
disorder.               ('2 Corinthians', '12', '20')
debauchery              ('2 Corinthians', '12', '21')
indulged.               ('2 Corinthians', '12', '21')
witnesses."             ('2 Corinthians', '13', '1')
repeat                  ('2 Corinthians', '13', '2')
absent:                 ('2 Corinthians', '13', '2')
you--unless,            ('2 Corinthians', '13', '5')
test?                   ('2 Corinthians', '13', '5')
authority--the          ('2 Corinthians', '13', '10')
apostle--sent           ('Galatians', '1', '1')
dead--                  ('Galatians', '1', '1')
galatia:                ('Galatians', '1', '2')
gospel--                ('Galatians', '1', '6')
evidently               ('Galatians', '1', '7')
judaism,                ('Galatians', '1', '13')
intensely               ('Galatians', '1', '13')
apostles--only          ('Galatians', '1', '19')
cilicia.                ('Galatians', '1', '21')
report:                 ('Galatians', '1', '23')
destroy."               ('Galatians', '1', '23')
infiltrated             ('Galatians', '2', '4')
important--whatever     ('Galatians', '2', '6')
external                ('Galatians', '2', '6')
appearance--those       ('Galatians', '2', '6')
reputed                 ('Galatians', '2', '9')
customs?                ('Galatians', '2', '14')
'gentile                ('Galatians', '2', '15')
sinners'                ('Galatians', '2', '15')
justified.              ('Galatians', '2', '16')
nothing!"               ('Galatians', '2', '21')
galatians!              ('Galatians', '3', '1')
bewitched               ('Galatians', '3', '1')
foolish?                ('Galatians', '3', '3')
effort?                 ('Galatians', '3', '3')
nothing--if             ('Galatians', '3', '4')
foresaw                 ('Galatians', '3', '8')
everyday                ('Galatians', '3', '15')
duly                    ('Galatians', '3', '15')
seeds,"                 ('Galatians', '3', '16')
seed,"                  ('Galatians', '3', '16')
introduced              ('Galatians', '3', '17')
referred                ('Galatians', '3', '19')
mediator.               ('Galatians', '3', '19')
party;                  ('Galatians', '3', '20')
trustees                ('Galatians', '4', '2')
formerly,               ('Galatians', '4', '8')
god--or                 ('Galatians', '4', '9')
god--how                ('Galatians', '4', '9')
principles?             ('Galatians', '4', '9')
alienate                ('Galatians', '4', '17')
tone,                   ('Galatians', '4', '20')
covenants.              ('Galatians', '4', '24')
slaves:                 ('Galatians', '4', '24')
corresponds             ('Galatians', '4', '25')
pains;                  ('Galatians', '4', '27')
race.                   ('Galatians', '5', '7')
persuasion              ('Galatians', '5', '8')
penalty,                ('Galatians', '5', '10')
persecuted?             ('Galatians', '5', '11')
abolished.              ('Galatians', '5', '11')
agitators,              ('Galatians', '5', '12')
emasculate              ('Galatians', '5', '12')
nature;                 ('Galatians', '5', '13')
biting                  ('Galatians', '5', '15')
obvious:                ('Galatians', '5', '19')
debauchery;             ('Galatians', '5', '19')
witchcraft;             ('Galatians', '5', '20')
hatred,                 ('Galatians', '5', '20')
discord,                ('Galatians', '5', '20')
fits                    ('Galatians', '5', '20')
dissensions,            ('Galatians', '5', '20')
factions                ('Galatians', '5', '20')
envy;                   ('Galatians', '5', '21')
envying                 ('Galatians', '5', '26')
gently.                 ('Galatians', '6', '1')
burdens,                ('Galatians', '6', '2')
load.                   ('Galatians', '6', '5')
instructor.             ('Galatians', '6', '6')
mocked.                 ('Galatians', '6', '7')
