----------------------  ------------------------------
birthday,               ('Genesis', '40', '20')
cupbearer,              ('Genesis', '40', '23')
gaunt,                  ('Genesis', '41', '3')
riverbank.              ('Genesis', '41', '3')
gaunt                   ('Genesis', '41', '4')
sprouted-thin           ('Genesis', '41', '6')
shortcomings.           ('Genesis', '41', '9')
hanged.                 ('Genesis', '41', '13')
dungeon.                ('Genesis', '41', '14')
up-scrawny              ('Genesis', '41', '19')
lean.                   ('Genesis', '41', '19')
sprouted-withered       ('Genesis', '41', '23')
wind:                   ('Genesis', '41', '27')
second-in-command,      ('Genesis', '41', '43')
zaphenath-paneah        ('Genesis', '41', '45')
plentifully.            ('Genesis', '41', '47')
other?"                 ('Genesis', '42', '1')
canaan,"                ('Genesis', '42', '7')
spies."                 ('Genesis', '42', '11')
tested:                 ('Genesis', '42', '15')
spies!"                 ('Genesis', '42', '16')
households.             ('Genesis', '42', '19')
verified                ('Genesis', '42', '20')
boy?                    ('Genesis', '42', '22')
interpreter.            ('Genesis', '42', '23')
returned,"              ('Genesis', '42', '28')
sack."                  ('Genesis', '42', '28')
spies.                  ('Genesis', '42', '31')
canaan.'                ('Genesis', '42', '32')
sacks,                  ('Genesis', '42', '35')
pouches,                ('Genesis', '42', '35')
taking,                 ('Genesis', '42', '38')
sorrow."                ('Genesis', '42', '38')
solemnly,               ('Genesis', '43', '3')
living?'                ('Genesis', '43', '7')
here'?"                 ('Genesis', '43', '7')
safety;                 ('Genesis', '43', '9')
gift-a                  ('Genesis', '43', '11')
pistachio               ('Genesis', '43', '11')
nuts                    ('Genesis', '43', '11')
mistake.                ('Genesis', '43', '12')
bereaved,               ('Genesis', '43', '14')
bereaved."              ('Genesis', '43', '14')
dinner;                 ('Genesis', '43', '16')
noon."                  ('Genesis', '43', '16')
silver-the              ('Genesis', '43', '21')
weight-in               ('Genesis', '43', '21')
sacks."                 ('Genesis', '43', '22')
sacks;                  ('Genesis', '43', '23')
about?                  ('Genesis', '43', '27')
controlling             ('Genesis', '43', '31')
youngest;               ('Genesis', '43', '33')
astonishment.           ('Genesis', '43', '33')
else's.                 ('Genesis', '43', '34')
feasted                 ('Genesis', '43', '34')
house:                  ('Genesis', '44', '1')
dawned,                 ('Genesis', '44', '3')
divination?             ('Genesis', '44', '5')
done.'"                 ('Genesis', '44', '5')
slave;                  ('Genesis', '44', '10')
blame."                 ('Genesis', '44', '10')
divination?"            ('Genesis', '44', '15')
innocence?              ('Genesis', '44', '16')
slaves-we               ('Genesis', '44', '16')
cup."                   ('Genesis', '44', '16')
myself.'                ('Genesis', '44', '21')
'unless                 ('Genesis', '44', '23')
food.'                  ('Genesis', '44', '25')
misery.'                ('Genesis', '44', '29')
presence!"              ('Genesis', '45', '1')
joseph!                 ('Genesis', '45', '3')
reaping.                ('Genesis', '45', '6')
me-you,                 ('Genesis', '45', '10')
destitute.'             ('Genesis', '45', '11')
accorded                ('Genesis', '45', '13')
quickly."               ('Genesis', '45', '13')
belongings,             ('Genesis', '45', '20')
yours.'"                ('Genesis', '45', '20')
carts,                  ('Genesis', '45', '21')
father:                 ('Genesis', '45', '23')
alive!                  ('Genesis', '45', '26')
stunned;                ('Genesis', '45', '26')
convinced!              ('Genesis', '45', '28')
"jacob!                 ('Genesis', '46', '2')
jacob!here              ('Genesis', '46', '2')
transport               ('Genesis', '46', '5')
granddaughters-all      ('Genesis', '46', '7')
(jacob                  ('Genesis', '46', '8')
descendants)            ('Genesis', '46', '8')
reuben:                 ('Genesis', '46', '9')
canaan).                ('Genesis', '46', '12')
shimron.                ('Genesis', '46', '13')
jahleel.                ('Genesis', '46', '14')
arodi                   ('Genesis', '46', '16')
areli.                  ('Genesis', '46', '16')
malkiel.                ('Genesis', '46', '17')
leah-sixteen            ('Genesis', '46', '18')
ehi,                    ('Genesis', '46', '21')
rosh,                   ('Genesis', '46', '21')
muppim,                 ('Genesis', '46', '21')
huppim                  ('Genesis', '46', '21')
ard.                    ('Genesis', '46', '21')
jacob-fourteen          ('Genesis', '46', '22')
hushim.                 ('Genesis', '46', '23')
shillem.                ('Genesis', '46', '24')
rachel-seven            ('Genesis', '46', '25')
jacob-those             ('Genesis', '46', '26')
wives-numbered          ('Genesis', '46', '26')
persons.                ('Genesis', '46', '26')
occupation?'            ('Genesis', '46', '33')
boyhood                 ('Genesis', '46', '34')
did.'                   ('Genesis', '46', '34')
occupation?your         ('Genesis', '47', '3')
shepherds,"             ('Genesis', '47', '3')
difficult,              ('Genesis', '47', '9')
rameses,                ('Genesis', '47', '11')
severe;                 ('Genesis', '47', '13')
buying,                 ('Genesis', '47', '14')
livestock,"             ('Genesis', '47', '16')
eyes-we                 ('Genesis', '47', '19')
well?                   ('Genesis', '47', '19')
desolate."              ('Genesis', '47', '19')
pharaoh's,              ('Genesis', '47', '20')
servitude,              ('Genesis', '47', '21')
four-fifths             ('Genesis', '47', '24')
egypt-still             ('Genesis', '47', '26')
today-that              ('Genesis', '47', '26')
pharaoh's.              ('Genesis', '47', '26')
forty-seven.            ('Genesis', '47', '28')
buried.i                ('Genesis', '47', '30')
paddan,                 ('Genesis', '48', '7')
ephrath.                ('Genesis', '48', '7')
ephrath"                ('Genesis', '48', '7')
-may                    ('Genesis', '48', '16')
displeased;             ('Genesis', '48', '17')
blessing:               ('Genesis', '48', '20')
manasseh.'"             ('Genesis', '48', '20')
ridge                   ('Genesis', '48', '22')
bow."                   ('Genesis', '48', '22')
"reuben,                ('Genesis', '49', '3')
turbulent               ('Genesis', '49', '4')
excel,                  ('Genesis', '49', '4')
brothers-               ('Genesis', '49', '5')
cruel!                  ('Genesis', '49', '7')
"judah,                 ('Genesis', '49', '8')
crouches                ('Genesis', '49', '9')
tether                  ('Genesis', '49', '11')
darker                  ('Genesis', '49', '12')
seashore                ('Genesis', '49', '13')
haven                   ('Genesis', '49', '13')
rawboned                ('Genesis', '49', '14')
saddlebags.             ('Genesis', '49', '14')
viper                   ('Genesis', '49', '17')
horse's                 ('Genesis', '49', '17')
heels                   ('Genesis', '49', '17')
