--------------------  ------------------------------
avert                 ['Jeremiah', '11', '15']
avva                  ['2 Kings', '17', '24']
avvim                 ['Joshua', '18', '23']
awakes                ['Psalms', '73', '20']
award                 ['2 Timothy', '4', '8']
awnings               ['Ezekiel', '27', '7']
awoke-and             ['1 Kings', '3', '15']
axhead                ['2 Kings', '6', '5']
ayyah                 ['1 Chronicles', '7', '28']
azaniah               ['Nehemiah', '10', '9']
azariahu              ['2 Chronicles', '21', '2']
azaz                  ['1 Chronicles', '5', '8']
azbuk                 ['Nehemiah', '3', '16']
aziel                 ['1 Chronicles', '15', '20']
aziza                 ['Ezra', '10', '27']
aznoth                ['Joshua', '19', '34']
azotus                ['Acts', '8', '40']
azrikam-three         ['1 Chronicles', '3', '23']
azzan                 ['Numbers', '34', '26']
baal-something        ['Jeremiah', '19', '5']
baal-then             ['Jeremiah', '12', '16']
baalis                ['Jeremiah', '40', '14']
baara                 ['1 Chronicles', '8', '8']
baaseiah              ['1 Chronicles', '6', '40']
babbler               ['Acts', '17', '18']
babbling              ['Matthew', '6', '7']
babel                 ['Genesis', '11', '9']
babylon-all           ['Jeremiah', '51', '60']
babylon-shadrach      ['Daniel', '3', '12']
baca                  ['Psalms', '84', '6']
backbone              ['Leviticus', '3', '9']
backsliding.yes       ['Jeremiah', '3', '22']
backslidings          ['Jeremiah', '5', '6']
bacuth                ['Genesis', '35', '8']
bad-they              ['Deuteronomy', '1', '39']
bag-one               ['Deuteronomy', '25', '13']
baggage               ['1 Samuel', '10', '22']
baharumite            ['1 Chronicles', '11', '33']
bakbakkar             ['1 Chronicles', '9', '15']
bakes                 ['Isaiah', '44', '15']
balah                 ['Joshua', '19', '3']
balances              ['Proverbs', '16', '11']
baldness              ['Isaiah', '3', '24']
ball                  ['Isaiah', '22', '18']
bamah                 ['Ezekiel', '20', '29']
ban                   ['1 Chronicles', '2', '7']
bangles               ['Isaiah', '3', '18']
banishment            ['Ezra', '7', '26']
bankers               ['Matthew', '25', '27']
baptisms              ['Hebrews', '6', '2']
bar-jesus             ['Acts', '13', '6']
barbarian             ['Colossians', '3', '11']
barber                ['Ezekiel', '5', '1']
barbs                 ['Numbers', '33', '55']
