------------------  --------------------
ahlab               Judges 1:31
helbah              Judges 1:31
naphtalites         Judges 1:33
asherahs            Judges 3:7
relieving           Judges 3:24
embarrassment       Judges 3:25
unlocked            Judges 3:25
seirah              Judges 3:26
oxgoad              Judges 3:31
cruelly             Judges 4:3
lappidoth           Judges 4:4
jabins              Judges 4:7
baraks              Judges 4:15
hebers              Judges 4:21
winding             Judges 5:6
volunteers          Judges 5:9
whistling           Judges 5:16
coves               Judges 5:17
meroz               Judges 5:23
curdled             Judges 5:25
workmans            Judges 5:26
peered              Judges 5:28
siseras             Judges 5:28
wisest              Judges 5:29
ladies              Judges 5:29
impoverished        Judges 6:6
abiezrite           Judges 6:11
weakest             Judges 6:15
newly               Judges 6:28
wrung               Judges 6:38
harod               Judges 7:1
tumbling            Judges 7:13
shittah             Judges 7:22
zererah             Judges 7:22
tabbath             Judges 7:22
karkor              Judges 8:10
routing             Judges 8:12
tabormen            Judges 8:18
pendants            Judges 8:26
gideons             Judges 8:28
soothsayers         Judges 9:37
arumah              Judges 9:41
hurriedly           Judges 9:54
kamon               Judges 10:5
maonites            Judges 10:12
launch              Judges 10:18
gileads             Judges 11:2
jephthahs           Judges 11:13
skirted             Judges 11:18
keramim             Judges 11:33
renegades           Judges 12:4
shibboleth          Judges 12:6
sibboleth           Judges 12:6
zebulunite          Judges 12:11
wifei               Judges 13:11
scooped             Judges 14:9
rejoined            Judges 14:9
clothestell         Judges 14:13
coax                Judges 14:15
sobbing             Judges 14:16
answeri             Judges 14:16
solved              Judges 14:18
timnites            Judges 15:6
viciously           Judges 15:8
uswe                Judges 15:10
bindings            Judges 15:14
hakkore             Judges 15:19
sorek               Judges 16:4
snaps               Judges 16:9
threads             Judges 16:12
tighten             Judges 16:13
wove                Judges 16:13
tightened           Judges 16:14
confide             Judges 16:15
nagging             Judges 16:16
prodded             Judges 16:16
gouged              Judges 16:21
central             Judges 16:29
bracing             Judges 16:29
abused              Judges 19:25
frontal             Judges 20:34
25100               Judges 20:35
overran             Judges 20:43
gidom               Judges 20:45
lebonah             Judges 21:19
ephrathites         Ruth 1:2
naomis              Ruth 1:3
mara                Ruth 1:20
leftover            Ruth 2:2
youthe              Ruth 2:4
mealtime            Ruth 2:14
embarrass           Ruth 2:15
gleaned             Ruth 2:17
redeemers           Ruth 2:20
kin                 Ruth 3:12
shawl               Ruth 3:15
suggest             Ruth 4:4
linei               Ruth 4:4
method              Ruth 4:7
legalizing          Ruth 4:7
transactions        Ruth 4:7
mahlons             Ruth 4:10
ramathaim           1 Samuel 1:1
zuphite             1 Samuel 1:1
tohu                1 Samuel 1:1
irritate            1 Samuel 1:6
downhearted         1 Samuel 1:8
kettle              1 Samuel 2:14
mediate             1 Samuel 2:25
fattening           1 Samuel 2:29
memy                1 Samuel 3:6
attested            1 Samuel 3:20
ichabod             1 Samuel 4:21
outbreak            1 Samuel 5:9
calved              1 Samuel 6:7
chopped             1 Samuel 6:14
suckling            1 Samuel 7:9
car                 1 Samuel 7:11
shen                1 Samuel 7:12
perfumers           1 Samuel 8:13
cooks               1 Samuel 8:13
vintage             1 Samuel 8:15
zeror               1 Samuel 9:1
becorath            1 Samuel 9:1
aphiah              1 Samuel 9:1
impressive          1 Samuel 9:2
shalisha            1 Samuel 9:4
shaalim             1 Samuel 9:4
dined               1 Samuel 9:24
zelzah              1 Samuel 10:2
beenlooking         1 Samuel 10:14
matris              1 Samuel 10:21
baggage             1 Samuel 10:22
elated              1 Samuel 11:9
handhe              1 Samuel 12:5
critical            1 Samuel 13:6
assembling          1 Samuel 13:11
detachments         1 Samuel 13:17
borderland          1 Samuel 13:18
sickles             1 Samuel 13:20
repointing          1 Samuel 13:21
ichabods            1 Samuel 14:3
bozez               1 Samuel 14:4
seneh               1 Samuel 14:4
lookouts            1 Samuel 14:16
oozing              1 Samuel 14:26
pounced             1 Samuel 14:32
ityou               1 Samuel 14:33
alivedo             1 Samuel 14:36
heredo              1 Samuel 14:40
valiantly           1 Samuel 14:48
waylaid             1 Samuel 15:2
telaim              1 Samuel 15:4
bleating            1 Samuel 15:14
nighttell           1 Samuel 15:16
havethere           1 Samuel 16:11
tormenting          1 Samuel 16:15
ephes               1 Samuel 17:1
greaves             1 Samuel 17:6
ephrathite          1 Samuel 17:12
cheeses             1 Samuel 17:18
defiance            1 Samuel 17:23
removes             1 Samuel 17:26
surged              1 Samuel 17:52
successfully        1 Samuel 18:5
galled              1 Samuel 18:8
elapsed             1 Samuel 18:26
fond                1 Samuel 19:1
benefited           1 Samuel 19:4
secu                1 Samuel 19:22
davidover           1 Samuel 19:22
confiding           1 Samuel 20:2
inkling             1 Samuel 20:9
missions            1 Samuel 21:5
discontented        1 Samuel 22:2
hereth              1 Samuel 22:5
ahitubyes           1 Samuel 22:12
looting             1 Samuel 23:1
hurrying            1 Samuel 23:26
hammahlekoth        1 Samuel 23:28
calebite            1 Samuel 25:3
surly               1 Samuel 25:3
dealings            1 Samuel 25:3
herding             1 Samuel 25:16
bundle              1 Samuel 25:29
pocket              1 Samuel 25:29
sauli               1 Samuel 26:6
maoch               1 Samuel 27:2
girzites            1 Samuel 27:8
odious              1 Samuel 27:12
herthere            1 Samuel 28:7
youbring            1 Samuel 28:11
upi                 1 Samuel 28:15
thempursue          1 Samuel 30:8
siphmoth            1 Samuel 30:28
racal               1 Samuel 30:29
jerahmeelites       1 Samuel 30:29
bor                 1 Samuel 30:30
athach              1 Samuel 30:30
critically          1 Samuel 31:3
youan               2 Samuel 1:8
throes              2 Samuel 1:9
unsatisfied         2 Samuel 1:22
goto                2 Samuel 2:1
ashuri              2 Samuel 2:9
usall               2 Samuel 2:14
hazzurim            2 Samuel 2:16
asahelit            2 Samuel 2:20
butt                2 Samuel 2:23
asahels             2 Samuel 2:23
giah                2 Samuel 2:24
bithron             2 Samuel 2:29
kileab              2 Samuel 3:3
movements           2 Samuel 3:25
sirah               2 Samuel 3:26
crutch              2 Samuel 3:29
fettered            2 Samuel 3:34
conquers            2 Samuel 5:8
sistrums            2 Samuel 6:5
nacon               2 Samuel 6:6
irreverent          2 Samuel 6:7
disrobing           2 Samuel 6:20
vulgar              2 Samuel 6:20
undignified         2 Samuel 6:22
floggings           2 Samuel 7:14
metheg              2 Samuel 8:1
berothai            2 Samuel 8:8
zibayour            2 Samuel 9:2
mephiboshethyour    2 Samuel 9:6
grandfather         2 Samuel 9:7
zibas               2 Samuel 9:12
regrouped           2 Samuel 10:15
invitation          2 Samuel 11:13
fiercest            2 Samuel 11:15
defenders           2 Samuel 11:16
besheth             2 Samuel 11:21
jedidiah            2 Samuel 12:25
brickmaking         2 Samuel 12:31
bolt                2 Samuel 13:17
bolted              2 Samuel 13:18
sheepshearers       2 Samuel 13:23
amnons              2 Samuel 13:39
cosmetic            2 Samuel 14:2
destroyedas         2 Samuel 14:11
kingspeak           2 Samuel 14:12
innocently          2 Samuel 15:11
gittites            2 Samuel 15:18
conspirators        2 Samuel 15:31
frustrating         2 Samuel 15:34
yoursi              2 Samuel 16:4
pelted              2 Samuel 16:6
showering           2 Samuel 16:13
destination         2 Samuel 16:14
inquires            2 Samuel 16:23
withdraws           2 Samuel 17:13
shobi               2 Samuel 17:27
bedding             2 Samuel 17:28
javelins            2 Samuel 18:14
zadokhe             2 Samuel 18:27
mustache            2 Samuel 19:24
appeals             2 Samuel 19:28
confinement         2 Samuel 20:3
berites             2 Samuel 20:14
fortifications      2 Samuel 20:15
joabi               2 Samuel 20:17
sayi                2 Samuel 20:17
jairite             2 Samuel 20:26
deathwhat           2 Samuel 21:4
decimated           2 Samuel 21:5
armoni              2 Samuel 21:8
meholathite         2 Samuel 21:8
zela                2 Samuel 21:14
ishbi               2 Samuel 21:16
benob               2 Samuel 21:16
spearhead           2 Samuel 21:16
saph                2 Samuel 21:18
jaare               2 Samuel 21:19
oregim              2 Samuel 21:19
bethlehemite        2 Samuel 21:19
cringing            2 Samuel 22:45
singer              2 Samuel 23:1
cloudless           2 Samuel 23:4
fruition            2 Samuel 23:5
josheb              2 Samuel 23:8
